x,y,crash,resto,atm,super,bar,busstp,cafe,conven,deptst,fastfd,gc,hotel,market,metro,temple
121.5589316,24.98050449,244,16,0,1,0,2,1,2,0,0,0,0,0,0,0
121.567688,24.97986558,179,3,1,0,0,15,1,1,0,0,0,0,0,0,2
121.5673925,24.9826004,542,21,0,1,0,4,4,4,0,2,1,0,0,0,0
121.5592087,24.98132736,407,32,1,2,0,8,0,3,0,3,0,0,0,0,0
121.5599523,24.98150602,295,30,0,0,0,4,1,2,0,2,0,0,0,0,0
121.5687893,24.98396305,458,64,0,2,0,8,1,4,0,0,0,0,0,0,0
121.5859112,24.97660536,288,13,1,0,0,44,5,4,0,0,0,0,0,0,11
121.5606362,24.98504123,596,20,0,0,0,7,0,2,0,0,1,0,0,0,0
121.5609735,24.98657996,263,11,0,1,0,1,0,1,0,1,0,0,0,0,0
121.5459724,24.98672333,1079,19,3,0,0,6,1,4,0,2,0,0,0,0,0
121.56922,24.98519962,821,26,1,0,0,14,0,6,0,1,0,0,0,0,0
121.5593808,24.98871516,526,22,0,0,0,6,0,3,0,0,0,0,0,0,0
121.5409045,24.9894634,1030,106,0,1,1,8,8,5,1,1,5,0,2,0,0
121.5523771,24.98903563,1225,45,0,1,0,10,4,5,0,2,0,0,0,0,2
121.5617693,24.98884684,307,15,0,0,0,4,1,4,0,3,0,0,0,0,0
121.5373069,24.99185396,263,7,0,1,0,1,1,2,0,1,1,0,0,0,0
121.5652897,24.98839446,654,40,1,2,0,11,4,2,0,2,0,0,0,0,0
121.544154,24.99246257,320,24,0,1,0,2,2,3,0,3,2,0,0,0,0
121.5598092,24.99537995,301,10,0,1,0,2,0,2,0,0,0,0,0,0,0
121.584072,24.9865471,281,20,1,0,0,31,0,3,0,0,0,0,0,0,2
121.5362564,24.99521389,342,9,2,1,0,7,1,3,0,0,1,0,0,1,1
121.5417011,24.9929382,665,51,0,0,1,5,8,7,0,2,1,0,0,0,0
121.5453378,24.99706832,278,19,0,1,0,4,2,1,0,1,0,0,0,0,0
121.5411222,24.9949058,428,18,0,1,0,1,3,3,0,0,1,0,0,0,0
121.554087,24.9998603,886,54,0,1,0,11,3,4,0,6,0,0,0,0,0
121.5474591,24.9989574,301,22,0,0,0,6,1,2,0,3,0,0,0,0,1
121.5512856,25.0011715,479,7,0,3,0,5,1,4,0,1,0,0,0,0,0
121.5405738,24.99888739,380,7,0,1,0,3,3,1,0,0,0,0,0,0,0
